epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.28606,1.86667,0.06667,1,1.82251,3e-05,3e-05,3e-05
2,5.0219,1.80423,0,1,1.79534,6.769e-05,6.769e-05,6.769e-05
3,7.46759,1.71799,0.2,1,1.7087,0.00010274,0.00010274,0.00010274
4,9.90253,1.71205,0.46667,1,1.625,0.00013515,0.00013515,0.00013515
5,12.0835,1.44293,0.6,1,1.53372,0.00016492,0.00016492,0.00016492
6,14.3695,1.43328,0.73333,1,1.42545,0.00019205,0.00019205,0.00019205
7,16.6296,1.39947,0.86667,1,1.3259,0.00021654,0.00021654,0.00021654
8,18.9296,1.2383,0.8,1,1.2239,0.00023839,0.00023839,0.00023839
9,21.1342,1.20962,0.93333,1,1.09788,0.0002576,0.0002576,0.0002576
10,23.5645,1.07278,0.93333,1,0.91663,0.00027417,0.00027417,0.00027417
11,26.1311,0.94538,1,1,0.74021,0.0002881,0.0002881,0.0002881
12,28.4953,0.93662,1,1,0.59791,0.00029939,0.00029939,0.00029939
13,30.6612,0.705,1,1,0.45825,0.00030804,0.00030804,0.00030804
14,32.8924,0.72413,1,1,0.38563,0.00031405,0.00031405,0.00031405
15,35.3991,0.49214,1,1,0.26233,0.00031742,0.00031742,0.00031742
16,37.7951,0.68702,1,1,0.21268,0.00031815,0.00031815,0.00031815
17,39.9674,0.47494,1,1,0.19219,0.00031624,0.00031624,0.00031624
18,42.4564,0.54326,1,1,0.13334,0.00031169,0.00031169,0.00031169
19,44.9112,0.38762,1,1,0.11992,0.0003045,0.0003045,0.0003045
20,47.2884,0.40597,1,1,0.11105,0.00029467,0.00029467,0.00029467
21,49.4784,0.4977,1,1,0.12127,0.0002822,0.0002822,0.0002822
22,51.7111,0.54868,1,1,0.0771,0.00026709,0.00026709,0.00026709
23,53.902,0.40112,1,1,0.0686,0.00024934,0.00024934,0.00024934
24,56.0321,0.32182,1,1,0.07123,0.00022895,0.00022895,0.00022895
25,58.2589,0.34503,1,1,0.06565,0.00020592,0.00020592,0.00020592
26,60.6724,0.21302,1,1,0.04783,0.000175,0.000175,0.000175
27,62.9495,0.61611,1,1,0.04015,0.000142,0.000142,0.000142
28,65.1942,0.26729,1,1,0.0342,0.000109,0.000109,0.000109
29,67.5121,0.61353,1,1,0.02097,7.6e-05,7.6e-05,7.6e-05
30,69.6421,0.25216,1,1,0.02098,4.3e-05,4.3e-05,4.3e-05
